"","noaa_subba","total_subba_area_ha","total_subba_cost","cost","hab_unit","master_cat","subbasin_name"
"1","mainstem_Stillaguamish",497.959190206333,27530805.5424087,20263863.8436352,"Marsh","Marsh","Mainstem "
"2","mainstem_Stillaguamish",497.959190206333,27530805.5424087,124487.086953727,"Marsh","Marsh","Mainstem "
"3","mainstem_Stillaguamish",497.959190206333,27530805.5424087,1670335.85229133,"Marsh","Marsh","Mainstem "
"4","mainstem_Stillaguamish",497.959190206333,27530805.5424087,281135.72321499,"Marsh","Marsh","Mainstem "
"5","mainstem_Stillaguamish",497.959190206333,27530805.5424087,2427649.3262984,"Marsh","Marsh","Mainstem "
"6","mainstem_Stillaguamish",497.959190206333,27530805.5424087,2473536.74810668,"Marsh","Marsh","Mainstem "
"7","mainstem_Stillaguamish",497.959190206333,27530805.5424087,61702.8287501597,"Marsh","Marsh","Mainstem "
"8","mainstem_Stillaguamish",497.959190206333,27530805.5424087,206237.382776186,"Marsh","Marsh","Mainstem "
"9","mainstem_Stillaguamish",497.959190206333,27530805.5424087,21856.7503820799,"Marsh","Marsh","Mainstem "
"10","mainstem_Stillaguamish",317.786611080542,17569555.0272188,17569555.0272188,"Side Channel","side_channel","Mainstem "
"11","mainstem_North_Fork_Stillaguamish_01",4.76636553439291,263519.351087862,149496.89073615,"Pond","Pond","Mainstem North Fork  01"
"12","mainstem_North_Fork_Stillaguamish_01",38.9715600502226,2154631.26804108,1976993.8149476,"Marsh","Marsh","Mainstem North Fork  01"
"13","mainstem_North_Fork_Stillaguamish_01",38.9715600502226,2154631.26804108,21546.1957016445,"Marsh","Marsh","Mainstem North Fork  01"
"14","mainstem_North_Fork_Stillaguamish_01",38.9715600502226,2154631.26804108,156091.257391835,"Marsh","Marsh","Mainstem North Fork  01"
"15","mainstem_North_Fork_Stillaguamish_01",4.76636553439291,263519.351087862,114022.460351712,"Pond","Pond","Mainstem North Fork  01"
"16","mainstem_North_Fork_Stillaguamish_01",186.242253770942,10296826.2724967,10296826.2724967,"Side Channel","side_channel","Mainstem North Fork  01"
"17","mainstem_North_Fork_Stillaguamish_02",2.41492067278143,133514.377784934,133514.377784934,"Marsh","Marsh","Mainstem North Fork  02"
"18","mainstem_North_Fork_Stillaguamish_02",72.2686076426283,3995534.2183873,3995534.2183873,"Side Channel","side_channel","Mainstem North Fork  02"
"19","mainstem_South_Fork_Stillaguamish_01",16.4831137868452,911306.40687844,911306.40687844,"Marsh","Marsh","Mainstem South Fork  01"
"20","mainstem_South_Fork_Stillaguamish_01",62.6209298382345,3462140.42469404,3462140.42469404,"Side Channel","side_channel","Mainstem South Fork  01"
"21","Pilchuck_Creek",0.529430387939665,29270.762233687,29270.762233687,"Side Channel","side_channel","Pilchuck Creek"
"22","Deer_Creek",25.6376364093479,1417434.99554707,1417434.99554707,"Side Channel","side_channel","Deer Creek"
